name	split
MassSpecGymID0000106	train
MassSpecGymID0000107	train
MassSpecGymID0000108	train
MassSpecGymID0000109	train
MassSpecGymID0000110	train
MassSpecGymID0000111	train
MassSpecGymID0000112	train
MassSpecGymID0000113	train
MassSpecGymID0000115	train
MassSpecGymID0000117	train
MassSpecGymID0000119	train
MassSpecGymID0000120	train
MassSpecGymID0000121	train
MassSpecGymID0000122	train
MassSpecGymID0000123	train
MassSpecGymID0000124	train
MassSpecGymID0000125	train
MassSpecGymID0000126	train
MassSpecGymID0000127	train
MassSpecGymID0000128	train
MassSpecGymID0000129	train
MassSpecGymID0000130	train
MassSpecGymID0000131	train
MassSpecGymID0000133	train
MassSpecGymID0000134	train
MassSpecGymID0000135	train
MassSpecGymID0000136	train
MassSpecGymID0000137	train
MassSpecGymID0000138	train
MassSpecGymID0000139	train
MassSpecGymID0000140	train
MassSpecGymID0000141	train
MassSpecGymID0000142	train
MassSpecGymID0000143	train
MassSpecGymID0000144	train
MassSpecGymID0000146	train
MassSpecGymID0000147	train
MassSpecGymID0000148	train
MassSpecGymID0000149	train
MassSpecGymID0000150	train
MassSpecGymID0000151	val
MassSpecGymID0000152	val
MassSpecGymID0000153	val
MassSpecGymID0000154	val
MassSpecGymID0000155	val
MassSpecGymID0000156	val
MassSpecGymID0000158	train
MassSpecGymID0000160	train
MassSpecGymID0000164	train
MassSpecGymID0000165	train
MassSpecGymID0000167	val
MassSpecGymID0000168	val
MassSpecGymID0000169	val
MassSpecGymID0000170	val
MassSpecGymID0000171	val
MassSpecGymID0000172	val
MassSpecGymID0000173	val
MassSpecGymID0000174	val
MassSpecGymID0000176	val
MassSpecGymID0000177	train
MassSpecGymID0000178	train
MassSpecGymID0000179	train
MassSpecGymID0000181	train
MassSpecGymID0000185	train
MassSpecGymID0000190	train
MassSpecGymID0000191	train
MassSpecGymID0000192	train
MassSpecGymID0000193	train
MassSpecGymID0000194	train
MassSpecGymID0000195	train
MassSpecGymID0000196	train
MassSpecGymID0000197	train
MassSpecGymID0000198	train
MassSpecGymID0000199	train
MassSpecGymID0000200	train
MassSpecGymID0000201	test
MassSpecGymID0000202	test
MassSpecGymID0000203	test
MassSpecGymID0000204	test
MassSpecGymID0000205	test
MassSpecGymID0000206	test
MassSpecGymID0000207	test
MassSpecGymID0000208	test
MassSpecGymID0000209	test
MassSpecGymID0000210	test
MassSpecGymID0000211	test
MassSpecGymID0000212	test
MassSpecGymID0000213	test
MassSpecGymID0000214	test
MassSpecGymID0000215	test
MassSpecGymID0000216	test
MassSpecGymID0000217	test
MassSpecGymID0000218	test
MassSpecGymID0000219	test
MassSpecGymID0000220	test
MassSpecGymID0000221	test
MassSpecGymID0000222	test
MassSpecGymID0000223	test
MassSpecGymID0000224	test
MassSpecGymID0000226	test
MassSpecGymID0000227	test
MassSpecGymID0000228	test
MassSpecGymID0000229	test
MassSpecGymID0000230	test
MassSpecGymID0000231	test
MassSpecGymID0000232	test
MassSpecGymID0000233	test
MassSpecGymID0000234	test
MassSpecGymID0000235	test
MassSpecGymID0000236	test
MassSpecGymID0000237	test
MassSpecGymID0000238	test
MassSpecGymID0000239	train
MassSpecGymID0000240	train
MassSpecGymID0000241	train
MassSpecGymID0000242	train
MassSpecGymID0000243	train
MassSpecGymID0000244	train
MassSpecGymID0000245	train
MassSpecGymID0000246	train
MassSpecGymID0000247	train
MassSpecGymID0000248	train
MassSpecGymID0000249	train
MassSpecGymID0000250	train
MassSpecGymID0000251	train
MassSpecGymID0000252	train
MassSpecGymID0000253	train
MassSpecGymID0000254	train
MassSpecGymID0000256	train
MassSpecGymID0000257	train
MassSpecGymID0000258	train
MassSpecGymID0000259	train
MassSpecGymID0000260	train
MassSpecGymID0000261	train
MassSpecGymID0000262	train
MassSpecGymID0000263	train
MassSpecGymID0000264	train
MassSpecGymID0000266	train
MassSpecGymID0000268	train
MassSpecGymID0000269	train
MassSpecGymID0000270	train
MassSpecGymID0000271	train
MassSpecGymID0000272	train
MassSpecGymID0000273	val
MassSpecGymID0000274	val
MassSpecGymID0000275	val
MassSpecGymID0000276	val
MassSpecGymID0000277	val
MassSpecGymID0000278	val
MassSpecGymID0000279	val
MassSpecGymID0000280	val
MassSpecGymID0000281	val
MassSpecGymID0000282	val
MassSpecGymID0000283	val
MassSpecGymID0000284	val
MassSpecGymID0000286	val
MassSpecGymID0000287	val
MassSpecGymID0000288	val
MassSpecGymID0000289	val
MassSpecGymID0000291	train
MassSpecGymID0000292	train
MassSpecGymID0000293	train
MassSpecGymID0000294	train
MassSpecGymID0000295	train
MassSpecGymID0000296	train
MassSpecGymID0000297	train
MassSpecGymID0000298	train
MassSpecGymID0000299	train
MassSpecGymID0000300	train
MassSpecGymID0000301	train
MassSpecGymID0000303	train
MassSpecGymID0000304	train
MassSpecGymID0000305	train
MassSpecGymID0000306	train
MassSpecGymID0000307	train
MassSpecGymID0000308	train
MassSpecGymID0000309	train
MassSpecGymID0000310	train
MassSpecGymID0000311	train
MassSpecGymID0000312	train
MassSpecGymID0000313	train
MassSpecGymID0000314	train
MassSpecGymID0000315	train
MassSpecGymID0000316	train
MassSpecGymID0000317	train
MassSpecGymID0000318	train
MassSpecGymID0000319	train
MassSpecGymID0000320	train
MassSpecGymID0000321	train
MassSpecGymID0000322	train
MassSpecGymID0000323	train
MassSpecGymID0000324	train
MassSpecGymID0000325	train
MassSpecGymID0000326	train
MassSpecGymID0000328	train
MassSpecGymID0000329	train
MassSpecGymID0000330	train
MassSpecGymID0000331	train
MassSpecGymID0000332	train
MassSpecGymID0000333	train
MassSpecGymID0000335	train
MassSpecGymID0000336	train
MassSpecGymID0000337	train
MassSpecGymID0000338	train
MassSpecGymID0000339	train
MassSpecGymID0000340	train
MassSpecGymID0000342	train
MassSpecGymID0000343	train
MassSpecGymID0000345	train
MassSpecGymID0000346	train
MassSpecGymID0000347	train
MassSpecGymID0000348	train
MassSpecGymID0000349	train
MassSpecGymID0000350	train
MassSpecGymID0000351	train
MassSpecGymID0000352	train
MassSpecGymID0000353	train
MassSpecGymID0000354	train
MassSpecGymID0000355	train
MassSpecGymID0000356	train
MassSpecGymID0000358	train
MassSpecGymID0000359	train
MassSpecGymID0000360	train
MassSpecGymID0000361	train
MassSpecGymID0000362	train
MassSpecGymID0000363	train
MassSpecGymID0000364	train
MassSpecGymID0000365	train
MassSpecGymID0000366	train
MassSpecGymID0000367	train
MassSpecGymID0000368	train
MassSpecGymID0000369	train
MassSpecGymID0000370	train
MassSpecGymID0000371	train
MassSpecGymID0000372	train
MassSpecGymID0000373	train
MassSpecGymID0000374	val
MassSpecGymID0000375	val
MassSpecGymID0000376	val
MassSpecGymID0000377	val
MassSpecGymID0000378	val
MassSpecGymID0000379	val
MassSpecGymID0000380	val
MassSpecGymID0000381	val
MassSpecGymID0000382	val
MassSpecGymID0000383	val
MassSpecGymID0000385	val
MassSpecGymID0000386	val
MassSpecGymID0000387	val
MassSpecGymID0000388	val
MassSpecGymID0000390	val
MassSpecGymID0000391	val
MassSpecGymID0000392	val
MassSpecGymID0000393	train
MassSpecGymID0000394	train
MassSpecGymID0000395	train
MassSpecGymID0000396	train
MassSpecGymID0000397	train
MassSpecGymID0000398	train
MassSpecGymID0000399	train
MassSpecGymID0000400	train
MassSpecGymID0000401	train
MassSpecGymID0000402	train
MassSpecGymID0000403	test
MassSpecGymID0000405	test
MassSpecGymID0000406	test
MassSpecGymID0000407	test
MassSpecGymID0000408	test
MassSpecGymID0000410	test
MassSpecGymID0000411	test
MassSpecGymID0000412	test
MassSpecGymID0000415	test
MassSpecGymID0000416	test
MassSpecGymID0000417	test
MassSpecGymID0000418	test
MassSpecGymID0000420	test
MassSpecGymID0000421	test
MassSpecGymID0000423	train
MassSpecGymID0000424	train
MassSpecGymID0000425	train
MassSpecGymID0000426	train
MassSpecGymID0000427	train
MassSpecGymID0000428	train
MassSpecGymID0000429	train
MassSpecGymID0000430	train
MassSpecGymID0000431	train
MassSpecGymID0000432	train
MassSpecGymID0000433	train
MassSpecGymID0000434	train
MassSpecGymID0000435	train
MassSpecGymID0000436	train
MassSpecGymID0000438	train
MassSpecGymID0000439	train
MassSpecGymID0000440	train
MassSpecGymID0000441	train
MassSpecGymID0000442	train
MassSpecGymID0000443	train
MassSpecGymID0000446	train
MassSpecGymID0000447	train
MassSpecGymID0000448	train
MassSpecGymID0000449	train
MassSpecGymID0000450	train
MassSpecGymID0000451	train
MassSpecGymID0000452	val
MassSpecGymID0000453	val
MassSpecGymID0000454	val
MassSpecGymID0000455	val
MassSpecGymID0000456	val
MassSpecGymID0000457	val
MassSpecGymID0000458	val
MassSpecGymID0000459	val
MassSpecGymID0000460	val
MassSpecGymID0000461	val
MassSpecGymID0000462	val
MassSpecGymID0000463	val
MassSpecGymID0000464	val
MassSpecGymID0000465	val
MassSpecGymID0000466	val
MassSpecGymID0000467	val
MassSpecGymID0000468	val
MassSpecGymID0000469	val
MassSpecGymID0000470	val
MassSpecGymID0000471	val
MassSpecGymID0000472	test
MassSpecGymID0000473	test
MassSpecGymID0000474	test
MassSpecGymID0000475	test
MassSpecGymID0000476	test
MassSpecGymID0000477	test
MassSpecGymID0000478	test
MassSpecGymID0000479	test
MassSpecGymID0000481	test
MassSpecGymID0000482	test
MassSpecGymID0000483	test
MassSpecGymID0000484	test
MassSpecGymID0000486	train
MassSpecGymID0000487	train
MassSpecGymID0000488	train
MassSpecGymID0000489	train
MassSpecGymID0000490	train
MassSpecGymID0000491	train
MassSpecGymID0000492	train
MassSpecGymID0000493	train
MassSpecGymID0000494	train
MassSpecGymID0000495	train
MassSpecGymID0000496	train
MassSpecGymID0000497	train
MassSpecGymID0000498	train
MassSpecGymID0000499	train
MassSpecGymID0000500	train
MassSpecGymID0000501	train
MassSpecGymID0000502	train
MassSpecGymID0000503	train
MassSpecGymID0000504	train
MassSpecGymID0000505	train
MassSpecGymID0000506	train
MassSpecGymID0000508	train
MassSpecGymID0000509	train
MassSpecGymID0000510	train
MassSpecGymID0000511	train
MassSpecGymID0000512	train
MassSpecGymID0000513	val
MassSpecGymID0000514	val
MassSpecGymID0000515	val
MassSpecGymID0000516	val
MassSpecGymID0000517	val
MassSpecGymID0000518	val
MassSpecGymID0000519	val
MassSpecGymID0000520	val
MassSpecGymID0000521	val
MassSpecGymID0000522	val
MassSpecGymID0000523	val
MassSpecGymID0000524	val
MassSpecGymID0000525	val
MassSpecGymID0000526	val
MassSpecGymID0000527	val
MassSpecGymID0000528	val
MassSpecGymID0000529	val
MassSpecGymID0000530	val
MassSpecGymID0000531	val
MassSpecGymID0000532	val
MassSpecGymID0000533	val
MassSpecGymID0000534	val
MassSpecGymID0000535	val
MassSpecGymID0000536	val
MassSpecGymID0000537	val
MassSpecGymID0000538	val
MassSpecGymID0000539	val
MassSpecGymID0000540	val
MassSpecGymID0000541	val
MassSpecGymID0000542	val
MassSpecGymID0000566	train
MassSpecGymID0000568	train
MassSpecGymID0000570	train
MassSpecGymID0000571	train
MassSpecGymID0000572	train
MassSpecGymID0000573	train
MassSpecGymID0000576	val
MassSpecGymID0000577	val
MassSpecGymID0000579	val
MassSpecGymID0000580	val
MassSpecGymID0000581	val
MassSpecGymID0000582	val
MassSpecGymID0000583	val
MassSpecGymID0000584	val
MassSpecGymID0000586	test
MassSpecGymID0000587	test
MassSpecGymID0000588	test
MassSpecGymID0000589	test
MassSpecGymID0000590	test
MassSpecGymID0000591	test
MassSpecGymID0000592	test
MassSpecGymID0000593	test
MassSpecGymID0000594	test
MassSpecGymID0000595	test
MassSpecGymID0000596	train
MassSpecGymID0000597	train
MassSpecGymID0000598	train
MassSpecGymID0000599	train
MassSpecGymID0000600	train
MassSpecGymID0000601	train
MassSpecGymID0000602	train
MassSpecGymID0000603	train
MassSpecGymID0000604	train
MassSpecGymID0000605	train
MassSpecGymID0000606	train
MassSpecGymID0000607	train
MassSpecGymID0000608	train
MassSpecGymID0000610	train
MassSpecGymID0000611	train
MassSpecGymID0000612	train
MassSpecGymID0000613	train
MassSpecGymID0000614	train
MassSpecGymID0000615	train
MassSpecGymID0000616	train
MassSpecGymID0000617	train
MassSpecGymID0000618	train
MassSpecGymID0000619	train
MassSpecGymID0000620	train
MassSpecGymID0000624	train
MassSpecGymID0000626	train
MassSpecGymID0000630	train
MassSpecGymID0000638	train
MassSpecGymID0000642	train
MassSpecGymID0000648	train
MassSpecGymID0000656	train
MassSpecGymID0000657	train
MassSpecGymID0000658	train
MassSpecGymID0000659	train
MassSpecGymID0000660	train
MassSpecGymID0000661	train
MassSpecGymID0000662	train
MassSpecGymID0000663	train
MassSpecGymID0000664	train
MassSpecGymID0000665	train
MassSpecGymID0000666	train
MassSpecGymID0000667	train
MassSpecGymID0000668	train
MassSpecGymID0000669	train
MassSpecGymID0000670	train
MassSpecGymID0000671	train
MassSpecGymID0000672	train
MassSpecGymID0000673	train
MassSpecGymID0000674	train
MassSpecGymID0000676	train
MassSpecGymID0000677	train
MassSpecGymID0000678	train
MassSpecGymID0000679	train
MassSpecGymID0000680	train
MassSpecGymID0000690	train
MassSpecGymID0000694	train
MassSpecGymID0000696	train
MassSpecGymID0000720	train
MassSpecGymID0000721	train
MassSpecGymID0000722	train
MassSpecGymID0000723	train
MassSpecGymID0000724	train
MassSpecGymID0000725	train
MassSpecGymID0000726	train
MassSpecGymID0000727	train
MassSpecGymID0000728	train
MassSpecGymID0000729	train
MassSpecGymID0000730	train
MassSpecGymID0000731	train
MassSpecGymID0000732	train
MassSpecGymID0000733	train
MassSpecGymID0000734	train
MassSpecGymID0000735	train
MassSpecGymID0000736	train
MassSpecGymID0000737	train
MassSpecGymID0000738	train
MassSpecGymID0000739	train
MassSpecGymID0000740	train
MassSpecGymID0000741	train
MassSpecGymID0000742	train
MassSpecGymID0000744	train
MassSpecGymID0000745	train
MassSpecGymID0000746	train
MassSpecGymID0000747	train
MassSpecGymID0000748	train
MassSpecGymID0000749	train
MassSpecGymID0000750	train
MassSpecGymID0000751	train
MassSpecGymID0000752	train
MassSpecGymID0000753	train
MassSpecGymID0000754	train
MassSpecGymID0000755	train
MassSpecGymID0000756	train
MassSpecGymID0000757	train
MassSpecGymID0000758	train
MassSpecGymID0000759	train
MassSpecGymID0000760	train
MassSpecGymID0000761	train
MassSpecGymID0000762	train
MassSpecGymID0000763	train
MassSpecGymID0000764	train
MassSpecGymID0000765	train
MassSpecGymID0000766	train
MassSpecGymID0000767	train
MassSpecGymID0000768	train
MassSpecGymID0000769	train
MassSpecGymID0000770	train
MassSpecGymID0000771	train
MassSpecGymID0000772	train
MassSpecGymID0000773	train
MassSpecGymID0000774	train
MassSpecGymID0000776	train
MassSpecGymID0000777	train
MassSpecGymID0000778	train
MassSpecGymID0000779	train
MassSpecGymID0000780	train
MassSpecGymID0000781	test
MassSpecGymID0000782	test
MassSpecGymID0000783	test
MassSpecGymID0000784	test
MassSpecGymID0000785	test
MassSpecGymID0000786	test
MassSpecGymID0000787	test
MassSpecGymID0000788	test
MassSpecGymID0000790	train
MassSpecGymID0000791	train
MassSpecGymID0000792	train
MassSpecGymID0000793	train
MassSpecGymID0000794	train
MassSpecGymID0000795	train
MassSpecGymID0000796	train
MassSpecGymID0000797	train
MassSpecGymID0000798	train
MassSpecGymID0000799	train
MassSpecGymID0000800	train
MassSpecGymID0000801	train
MassSpecGymID0000803	train
MassSpecGymID0000804	train
MassSpecGymID0000805	train
MassSpecGymID0000806	train
MassSpecGymID0000807	train
MassSpecGymID0000808	train
MassSpecGymID0000809	train
MassSpecGymID0000812	train
MassSpecGymID0000813	train
MassSpecGymID0000814	train
MassSpecGymID0000815	train
MassSpecGymID0000816	train
MassSpecGymID0000819	test
MassSpecGymID0000820	test
MassSpecGymID0000821	test
MassSpecGymID0000822	test
MassSpecGymID0000823	test
MassSpecGymID0000824	test
MassSpecGymID0000825	test
MassSpecGymID0000826	test
MassSpecGymID0000827	test
MassSpecGymID0000828	test
MassSpecGymID0000829	test
MassSpecGymID0000830	test
MassSpecGymID0000831	test
MassSpecGymID0000832	test
MassSpecGymID0000833	test
MassSpecGymID0000834	test
MassSpecGymID0000835	test
MassSpecGymID0000836	test
MassSpecGymID0000837	test
MassSpecGymID0000838	test
MassSpecGymID0000839	train
MassSpecGymID0000840	train
MassSpecGymID0000841	train
MassSpecGymID0000842	train
MassSpecGymID0000843	train
MassSpecGymID0000844	train
MassSpecGymID0000845	train
MassSpecGymID0000846	train
MassSpecGymID0000847	train
MassSpecGymID0000848	train
MassSpecGymID0000849	val
MassSpecGymID0000850	val
MassSpecGymID0000851	val
MassSpecGymID0000852	val
MassSpecGymID0000853	val
MassSpecGymID0000854	val
MassSpecGymID0000855	val
MassSpecGymID0000856	val
MassSpecGymID0000858	val
MassSpecGymID0000859	val
MassSpecGymID0000860	val
MassSpecGymID0000861	val
MassSpecGymID0000862	val
MassSpecGymID0000863	val
MassSpecGymID0000865	train
MassSpecGymID0000866	train
MassSpecGymID0000867	train
MassSpecGymID0000868	train
MassSpecGymID0000869	train
MassSpecGymID0000870	train
MassSpecGymID0000871	train
MassSpecGymID0000872	train
MassSpecGymID0000873	train
MassSpecGymID0000874	train
MassSpecGymID0000875	train
MassSpecGymID0000876	train
MassSpecGymID0000877	train
MassSpecGymID0000878	train
MassSpecGymID0000879	train
MassSpecGymID0000880	train
MassSpecGymID0000881	train
MassSpecGymID0000882	train
MassSpecGymID0000883	train
MassSpecGymID0000884	train
MassSpecGymID0000885	train
MassSpecGymID0000886	train
MassSpecGymID0000887	train
MassSpecGymID0000888	train
MassSpecGymID0000889	train
MassSpecGymID0000890	train
MassSpecGymID0000891	train
MassSpecGymID0000892	train
MassSpecGymID0000893	train
MassSpecGymID0000894	train
MassSpecGymID0000895	train
MassSpecGymID0000896	train
MassSpecGymID0000897	train
MassSpecGymID0000898	train
MassSpecGymID0000899	train
MassSpecGymID0000900	train
MassSpecGymID0000901	train
MassSpecGymID0000902	train
MassSpecGymID0000903	train
MassSpecGymID0000904	train
MassSpecGymID0000905	train
MassSpecGymID0000906	train
MassSpecGymID0000907	train
MassSpecGymID0000908	train
MassSpecGymID0000909	train
MassSpecGymID0000910	train
MassSpecGymID0000911	train
MassSpecGymID0000912	train
MassSpecGymID0000913	train
MassSpecGymID0000914	train
MassSpecGymID0000915	train
MassSpecGymID0000916	train
MassSpecGymID0000917	train
MassSpecGymID0000918	train
MassSpecGymID0000919	train
MassSpecGymID0000920	train
MassSpecGymID0000921	train
MassSpecGymID0000922	train
MassSpecGymID0000923	train
MassSpecGymID0000924	train
MassSpecGymID0000925	train
MassSpecGymID0000926	train
MassSpecGymID0000927	train
MassSpecGymID0000928	train
MassSpecGymID0000929	train
MassSpecGymID0000930	train
MassSpecGymID0000932	train
MassSpecGymID0000933	train
MassSpecGymID0000936	train
MassSpecGymID0000937	train
MassSpecGymID0000938	train
MassSpecGymID0000940	train
MassSpecGymID0000941	train
MassSpecGymID0000942	train
MassSpecGymID0000943	train
MassSpecGymID0000944	train
MassSpecGymID0000945	train
MassSpecGymID0000946	train
MassSpecGymID0000947	train
MassSpecGymID0000948	train
MassSpecGymID0000949	train
MassSpecGymID0000950	train
MassSpecGymID0000951	train
MassSpecGymID0000952	train
MassSpecGymID0000953	train
MassSpecGymID0000954	train
MassSpecGymID0000955	train
MassSpecGymID0000956	train
MassSpecGymID0000957	train
MassSpecGymID0000958	train
MassSpecGymID0000959	train
MassSpecGymID0000960	train
MassSpecGymID0000961	train
MassSpecGymID0000962	train
MassSpecGymID0000963	train
MassSpecGymID0000964	train
MassSpecGymID0000965	train
MassSpecGymID0000966	train
MassSpecGymID0000967	train
MassSpecGymID0000968	train
MassSpecGymID0000969	train
MassSpecGymID0000970	train
MassSpecGymID0000971	train
MassSpecGymID0000972	train
MassSpecGymID0000973	train
MassSpecGymID0000974	train
MassSpecGymID0000975	train
MassSpecGymID0000976	train
MassSpecGymID0000977	train
MassSpecGymID0000978	train
MassSpecGymID0000979	train
MassSpecGymID0000981	train
MassSpecGymID0000982	train
MassSpecGymID0000983	train
MassSpecGymID0000984	train
MassSpecGymID0000985	train
MassSpecGymID0000986	train
MassSpecGymID0000987	train
MassSpecGymID0000988	train
MassSpecGymID0000989	train
MassSpecGymID0000990	train
MassSpecGymID0000991	train
MassSpecGymID0000992	train
MassSpecGymID0000993	train
MassSpecGymID0000994	train
MassSpecGymID0000996	train
MassSpecGymID0000997	train
MassSpecGymID0000998	train
MassSpecGymID0000999	train
MassSpecGymID0001000	train
MassSpecGymID0001001	train
MassSpecGymID0001002	train
MassSpecGymID0001003	train
MassSpecGymID0001004	train
MassSpecGymID0001005	train
MassSpecGymID0001006	train
MassSpecGymID0001008	train
MassSpecGymID0001009	train
MassSpecGymID0001010	train
MassSpecGymID0001011	train
MassSpecGymID0001012	train
MassSpecGymID0001013	test
MassSpecGymID0001014	test
MassSpecGymID0001015	test
MassSpecGymID0001016	test
MassSpecGymID0001017	test
MassSpecGymID0001018	test
MassSpecGymID0001019	test
MassSpecGymID0001020	test
MassSpecGymID0001021	test
MassSpecGymID0001022	test
MassSpecGymID0001023	train
MassSpecGymID0001024	train
MassSpecGymID0001025	train
MassSpecGymID0001026	train
MassSpecGymID0001027	train
MassSpecGymID0001028	train
MassSpecGymID0001029	train
MassSpecGymID0001030	train
MassSpecGymID0001031	train
MassSpecGymID0001032	train
MassSpecGymID0001033	train
MassSpecGymID0001034	train
MassSpecGymID0001035	train
MassSpecGymID0001036	train
MassSpecGymID0001037	train
MassSpecGymID0001038	train
MassSpecGymID0001039	train
MassSpecGymID0001040	train
MassSpecGymID0001041	train
MassSpecGymID0001042	train
MassSpecGymID0001043	train
MassSpecGymID0001044	train
MassSpecGymID0001045	train
MassSpecGymID0001046	train
MassSpecGymID0001047	val
MassSpecGymID0001048	val
MassSpecGymID0001049	val
MassSpecGymID0001050	val
MassSpecGymID0001051	val
MassSpecGymID0001052	val
MassSpecGymID0001053	val
MassSpecGymID0001054	val
MassSpecGymID0001055	val
MassSpecGymID0001056	val
MassSpecGymID0001058	val
MassSpecGymID0001059	val
MassSpecGymID0001060	val
MassSpecGymID0001061	val
MassSpecGymID0001063	train
MassSpecGymID0001064	train
MassSpecGymID0001065	train
MassSpecGymID0001066	train
MassSpecGymID0001067	train
MassSpecGymID0001068	train
MassSpecGymID0001069	train
MassSpecGymID0001070	train
MassSpecGymID0001071	train
MassSpecGymID0001072	train
MassSpecGymID0001073	val
MassSpecGymID0001074	val
MassSpecGymID0001075	val
MassSpecGymID0001076	val
MassSpecGymID0001077	val
MassSpecGymID0001078	val
MassSpecGymID0001080	train
MassSpecGymID0001081	train
MassSpecGymID0001082	train
MassSpecGymID0001083	train
MassSpecGymID0001084	train
MassSpecGymID0001085	train
MassSpecGymID0001086	train
MassSpecGymID0001087	train
MassSpecGymID0001088	train
MassSpecGymID0001089	train
MassSpecGymID0001090	train
MassSpecGymID0001091	train
MassSpecGymID0001092	train
MassSpecGymID0001093	train
MassSpecGymID0001094	train
MassSpecGymID0001095	train
MassSpecGymID0001096	train
MassSpecGymID0001097	train
MassSpecGymID0001098	train
MassSpecGymID0001099	train
MassSpecGymID0001100	train
MassSpecGymID0001101	train
MassSpecGymID0001102	train
MassSpecGymID0001103	train
MassSpecGymID0001104	train
MassSpecGymID0001106	train
MassSpecGymID0001107	train
MassSpecGymID0001108	train
MassSpecGymID0001109	train
MassSpecGymID0001110	train
MassSpecGymID0001111	train
MassSpecGymID0001112	train
MassSpecGymID0001113	val
MassSpecGymID0001114	val
MassSpecGymID0001116	val
MassSpecGymID0001117	val
MassSpecGymID0001118	val
MassSpecGymID0001119	val
MassSpecGymID0001120	val
MassSpecGymID0001121	val
MassSpecGymID0001123	train
MassSpecGymID0001124	train
MassSpecGymID0001125	train
MassSpecGymID0001126	train
MassSpecGymID0001127	train
MassSpecGymID0001131	train
MassSpecGymID0001132	train
MassSpecGymID0001133	train
MassSpecGymID0001134	train
MassSpecGymID0001136	train
MassSpecGymID0001137	train
MassSpecGymID0001138	train
MassSpecGymID0001139	train
MassSpecGymID0001141	train
MassSpecGymID0001142	train
MassSpecGymID0001143	train
MassSpecGymID0001144	train
MassSpecGymID0001145	train
MassSpecGymID0001147	train
MassSpecGymID0001148	train
MassSpecGymID0001149	train
MassSpecGymID0001150	train
MassSpecGymID0001175	train
MassSpecGymID0001177	train
MassSpecGymID0001181	train
MassSpecGymID0001183	train
MassSpecGymID0001185	train
MassSpecGymID0001187	train
MassSpecGymID0001189	train
MassSpecGymID0001191	train
MassSpecGymID0001193	train
MassSpecGymID0001195	train
MassSpecGymID0001197	train
MassSpecGymID0001199	train
MassSpecGymID0001200	train
MassSpecGymID0001203	train
MassSpecGymID0001204	train
MassSpecGymID0001206	train
MassSpecGymID0001207	train
MassSpecGymID0001208	train
MassSpecGymID0001209	train
MassSpecGymID0001210	train
MassSpecGymID0001232	train
MassSpecGymID0001233	train
MassSpecGymID0001234	train
MassSpecGymID0001236	train
MassSpecGymID0001237	train
MassSpecGymID0001238	train
MassSpecGymID0001239	train
MassSpecGymID0001240	train
MassSpecGymID0001241	train
MassSpecGymID0001242	train
MassSpecGymID0001243	train
MassSpecGymID0001244	train
